"Variable","Description","Household File","Person File","Vehicle File","Daytrip File","Question","Type","Size","Levels"
"ANNMILES","Self-reported annualized mile estimate",FALSE,FALSE,TRUE,FALSE,"DV*","N",8,"Vehicle"
"AWAYHOME","Travel day reason S was away from home",FALSE,FALSE,FALSE,TRUE,"G25a","C",2,"Trip"
"BESTMILE","Best estimate of annual miles",FALSE,FALSE,TRUE,FALSE,"ORNL","N",8,"Vehicle"
"BEST_EDT","Flag any edits/adjustments to BESTMILE",FALSE,FALSE,TRUE,FALSE,"ORNL","C",2,"Vehicle"
"BEST_FLG","How BESTMILE was computed",FALSE,FALSE,TRUE,FALSE,"ORNL","C",2,"Vehicle"
"BEST_OUT","Flag identifying BESTMILE outlier values",FALSE,FALSE,TRUE,FALSE,"ORNL","C",2,"Vehicle"
"BORNINUS","Respondent was born in U.S.",FALSE,TRUE,FALSE,FALSE,"M8","C",2,"Person"
"CARRODE","Number of people in vehicle last week",FALSE,TRUE,FALSE,FALSE,"E18","N",8,"Person"
"CDIVMSAR","Grouping of HH by combination of Census Division, MSA status, and presence of a subway system (if area > 1 million)",TRUE,TRUE,TRUE,TRUE,"DV_1*","C",2,"Household"
"CENSUS_D","Census division classification for home address",TRUE,TRUE,TRUE,TRUE,"DV_2*","C",2,"Household"
"CENSUS_R","Census region classification for home address",TRUE,TRUE,TRUE,TRUE,"DV_3*","C",2,"Household"
"CNTTDHH","Category of number of household trips",TRUE,FALSE,FALSE,FALSE,"DV*","C",2,"Household"
"CNTTDTR","Count of travel day trips for this respondent",FALSE,TRUE,FALSE,FALSE,"DV_4*","N",8,"Person"
"CONDNIGH","Medical condition results in limiting driving to daytime",FALSE,TRUE,FALSE,FALSE,"M6","C",2,"Person"
"CONDPUB","Medical condition results in using bus/subway less frequently",FALSE,TRUE,FALSE,FALSE,"M6","C",2,"Person"
"CONDRIDE","Medical condition results in asking others for rides",FALSE,TRUE,FALSE,FALSE,"M6","C",2,"Person"
"CONDRIVE","Medical condition results in giving up driving",FALSE,TRUE,FALSE,FALSE,"M6","C",2,"Person"
"CONDSPEC","Medical condition results in using special transit services",FALSE,TRUE,FALSE,FALSE,"M6","C",2,"Person"
"CONDTAX","Medical condition results in using a reduced fare taxi",FALSE,TRUE,FALSE,FALSE,"M6","C",2,"Person"
"CONDTRAV","Medical condition results in reduced day-to-day travel",FALSE,TRUE,FALSE,FALSE,"M6","C",2,"Person"
"DELIVER","Number of these internet purchases delivered to home",FALSE,TRUE,FALSE,FALSE,"Mb","N",4,"Person"
"DIARY","Indicates if travel diary was completed",FALSE,TRUE,FALSE,FALSE,"DV_5*","C",2,"Person"
"DISTTOSC","Distance home to school",FALSE,TRUE,FALSE,FALSE,"F3","C",2,"Person"
"DISTTOWK","One-way distance to workplace (miles)",FALSE,TRUE,FALSE,FALSE,"E14","N",8,"Person"
"DRIVER","Driver status of S",FALSE,TRUE,FALSE,TRUE,"DV_8*","C",2,"Person"
"DROP_PRK","Parked or dropped off at public transit",FALSE,FALSE,FALSE,TRUE,"G35a","C",2,"Trip"
"DRVRCNT","Number of drivers in HH",TRUE,TRUE,TRUE,TRUE,"DV_10*","N",8,"Household"
"DRVR_FLG","Subject was driver on this trip",FALSE,FALSE,FALSE,TRUE,"DV_9* G49","C",2,"Trip"
"DTACDT","Respondent's view on Safety concerns",FALSE,TRUE,FALSE,FALSE,"L2a","C",2,"Person"
"DTCONJ","Respondent's view on Highway congestion",FALSE,TRUE,FALSE,FALSE,"L2a","C",2,"Person"
"DTCOST","Respondent's view on Price of travel (fees, tolls and gas)",FALSE,TRUE,FALSE,FALSE,"L2a","C",2,"Person"
"DTRAGE","Respondent's view on Aggressive/distracted drivers",FALSE,TRUE,FALSE,FALSE,"L2a","C",2,"Person"
"DTRAN","Respondent's view on Access or availability of public transit",FALSE,TRUE,FALSE,FALSE,"L2a","C",2,"Person"
"DTWALK","Respondent's view on Lack of walkways or sidewalks",FALSE,TRUE,FALSE,FALSE,"L2a","C",2,"Person"
"DWELTIME","Calculated Time (minutes) at Destination",FALSE,FALSE,FALSE,TRUE,"DV*","N",8,"Trip"
"EDUC","Highest grade completed",FALSE,TRUE,FALSE,TRUE,"M7","C",2,"Person"
"EIADMPG","EIA derived miles per gasoline-equivalent gallon estimate",FALSE,FALSE,TRUE,FALSE,"EIA","N",8,"Vehicle"
"ENDTIME","Trip END time in military",FALSE,FALSE,FALSE,TRUE,"DV_11*","C",4,"Trip"
"EPATMPG","Unadjusted 55/45 combined fuel economy",FALSE,FALSE,TRUE,FALSE,"EIA","N",8,"Vehicle"
"EPATMPGF","Imputation flag for EPATMPG",FALSE,FALSE,TRUE,FALSE,"EIA","C",2,"Vehicle"
"EVERDROV","Has been a driver in the past",FALSE,TRUE,FALSE,FALSE,"C8","C",2,"Person"
"FLAG100","Did HH have 100% of members complete interview?",TRUE,TRUE,TRUE,TRUE,"DV*","C",2,"Household"
"FLEXTIME","Respondent can set or change start time of work day",FALSE,TRUE,FALSE,FALSE,"Ec","C",2,"Person"
"FMSCSIZE","Number of people on from school trip",FALSE,TRUE,FALSE,FALSE,"F8","N",8,"Person"
"FRSTHM","Did Person Start Travel Day at Home?",FALSE,TRUE,FALSE,TRUE,"G8","C",2,"Person"
"FUELTYPE","Type of fuel",FALSE,FALSE,TRUE,FALSE,"EIA","N",8,"Vehicle"
"FXDWKPL","No fixed workplace",FALSE,TRUE,FALSE,FALSE,"DV*","C",2,"Person"
