NAME,VALUE,LABEL
AGERANGE,-9,Not ascertained
AGERANGE,-8,Don't know
AGERANGE,-7,Refused
AGERANGE,-1,Appropriate skip
AGERANGE,1,Yes
AGERANGE,2,No
ANN_FLG,-1,Appropriate skip
ANN_FLG,01,Incomplete Information (mileage or time data missing)
ANN_FLG,02,Negative odometer difference
ANN_FLG,03,Odometer mileage too large
ANN_FLG,05,Negative time span
ANN_FLG,07,Odometer/self-est > 4 or < .25 and|odom-self-est| > 10000
ANN_FLG,08,No primary driver
ANN_FLG,09,"Other truck, RV, Motorcycle, other, dont know"
ANN_FLG,10,Data changed during final editing
AWAYHOME,-9,Not ascertained
AWAYHOME,-8,Don't know
AWAYHOME,-7,Refused
AWAYHOME,-1,Appropriate skip
AWAYHOME,10,Work
AWAYHOME,11,Go to work
AWAYHOME,12,Return to work
AWAYHOME,13,Attend business meeting/trip
AWAYHOME,14,Other work related
AWAYHOME,20,School/religious activity
AWAYHOME,21,Go to school as student
AWAYHOME,22,Go to religious activity
AWAYHOME,23,Go to library: school related
AWAYHOME,24,OS - Day care
AWAYHOME,30,Medical/dental services
AWAYHOME,40,Shopping/errands
AWAYHOME,41,Buy goods: groceries/clothing/hardware store
AWAYHOME,42,Buy services: video rentals/dry cleaner/post office/carservice/bank
AWAYHOME,43,Buy gas
AWAYHOME,50,Social/recreational
AWAYHOME,51,Go to gym/exercise/play sports
AWAYHOME,52,Rest or relaxation/vacation
AWAYHOME,53,Visit friends/relatives
AWAYHOME,54,Go out/hang out: entertainment/theater/sports event/goto bar
AWAYHOME,55,Visit public place: historical site/museum/park/library
AWAYHOME,60,Family personal business/obligations
AWAYHOME,61,Use professional services: attorney/accountant
AWAYHOME,62,Attend funeral/wedding
AWAYHOME,63,Use personal services: grooming/haircut/nails
AWAYHOME,64,Pet care: walk the dog/vet visits
AWAYHOME,65,Attend meeting: PTA/home owners association/localgovernment
AWAYHOME,70,Transport someone
AWAYHOME,71,Pick up someone
AWAYHOME,72,Take and wait
AWAYHOME,73,Drop someone off
AWAYHOME,80,Meals
AWAYHOME,81,Social event
AWAYHOME,82,Get/eat meal
AWAYHOME,83,Coffee/ice cream/snacks
AWAYHOME,91,Other reason
BEST_EDT,-1,Appropriate skip
