NAME,TABLE,TYPE,LABEL
AGE_P1,household,numeric,Person 1 age
AGE_P10,household,numeric,Person 10 age
AGE_P11,household,numeric,Person 11 age
AGE_P12,household,numeric,Person 12 age
AGE_P13,household,numeric,Person 13 age
AGE_P14,household,numeric,Person 14 age
AGE_P2,household,numeric,Person 2 age
AGE_P3,household,numeric,Person 3 age
AGE_P4,household,numeric,Person 4 age
AGE_P5,household,numeric,Person 5 age
AGE_P6,household,numeric,Person 6 age
AGE_P7,household,numeric,Person 7 age
AGE_P8,household,numeric,Person 8 age
AGE_P9,household,numeric,Person 9 age
AGERANGE,person,character,HH member 18 years or older
ANMLTYR,vehicle,numeric,Annualized mile estimate-owned < 1 year
ANN_FLG,vehicle,character,Reasons for missing ANNUALZD value
ANNMILES,vehicle,numeric,Self-reported annualized mile estimate
ANNUALZD,vehicle,numeric,Odometer-based annual miles estimate
ANULZDSE,vehicle,numeric,Standard error of ANNUALZD estimate
AWAYHOME,trip,character,Reason start travel day away from home
BEST_EDT,vehicle,character,Flag any edits/adjustments to BESTMILE
BEST_FLG,vehicle,character,How BESTMILE was computed
BEST_OUT,vehicle,character,Flag identifying BESTMILE outlier values
BESTMILE,vehicle,numeric,Best estimate of annual miles
BORNINUS,person,character,Respondent was born in U.S.
BTUCOST,vehicle,numeric,Fuel cost in US cents per equivalent-gal
BTUTCOST,vehicle,numeric,"Annual fuel expenditures in US dollars,"
BTUYEAR,vehicle,numeric,Annual fuel consumption in gaoline-equiv
CARRODE,person,numeric,Number in carpool last week
CDIVMSAR,household,character,"HHs by Census div., MSA size, rail"
CENSUS_D,household,character,Household Census Division
CENSUS_R,household,character,Household Census Region
CNTTDHH,household,numeric,No. trav day person trips made by HH
CNTTDTR,person,numeric,Count of trav day trips for this resp.
CNTTPHH,household,numeric,Sum of all travel period person trips
CNTTPTR,person,numeric,Sum of travel period person trips
CNTTPUNQ,person,numeric,Number of unique travel period trips
COMMDRVR,person,character,Commercial driver
CONDNIGH,person,character,Med cond limits driving to daytime
CONDPUB,person,character,Med cond limits use of public trans
CONDRIDE,person,character,Med cond results in asking for rides
CONDRIVE,person,character,Med cond requires giving up driving
CONDSPEC,person,character,Med cond requires special transport
CONDTRAV,person,character,Med cond results in less travel
DIARYCMP,person,character,Was diary completed
DIFFDATE,person,numeric,Days between trav day and person int.
DISTBLOC,person,numeric,Distance to work if reported in blocks
DISTTOWK,person,numeric,Distance to work in miles
DRIVER,person,character,Driver status of respondent
DRV_P1,household,character,Person 1 driver status - derived
DRV_P10,household,character,Person 10 driver status - derived
DRV_P11,household,character,Person 11 driver status - derived
DRV_P12,household,character,Person 12 driver status - derived
DRV_P13,household,character,Person 13 driver status - derived
DRV_P14,household,character,Person 14 driver status - derived
DRV_P2,household,character,Person 2 driver status - derived
